symbol,total_records,average_volume,total_trades,average_percent_change,average_price_range,up_candle_count,down_candle_count,flat_candle_count,volatility_rank,activity_rank
BTCUSDT,854,716.0706513817332,854,-0.021040561288690543,420.8679976580788,417,437,0,1,1
LINKUSDT,852,122629.82917840383,852,-0.0065395396600349065,0.08945892018779333,414,394,44,5,2
BNBUSDT,850,7763.2758388235225,850,0.003043230229648596,4.44508235294118,433,412,5,3,3
SOLUSDT,850,110026.02972235296,850,-0.015076153250125669,0.726776470588235,428,410,12,4,3
DOGEUSDT,843,3.665896605812574E7,843,-0.02721946567323125,0.0010065599051008298,410,426,7,10,5
ADAUSDT,829,5717135.14933655,829,-0.04588445159169222,0.0022815440289505502,402,404,23,9,6
DOTUSDT,825,285977.92727272736,825,-0.025459618891291853,0.013910303030303018,384,395,46,7,7
AVAXUSDT,822,92451.02929440384,822,-0.04041093980799467,0.08846836982968367,382,394,46,6,8
XRPUSDT,822,4064797.52858881,822,-0.020335884067894532,0.010217153284671533,397,419,6,8,8
ETHUSDT,817,13738.828001958385,817,-0.03304556593626032,15.279645042839624,410,406,1,2,10
